id,text,primary_emotion,secondary_emotion,teccr_context
1361,சாதாரண பணி முடிந்தது,Neutral,None,Ordinary task finished
1362,மனதில் வெறுமை பரவுது,Sadness,None,Mind emptiness spreading
1363,நன்றி உணர்வு வந்ததில் மகிழ்ச்சி,Joy,None,Gratitude feeling joy
1364,அநீதி கோபத்தை உண்டாக்குது,Anger,Frustration,Injustice anger creating
1365,பயம் மனதை பிடித்திருக்குது,Fear,None,Fear mind holding
1366,வழக்கமான நாள் கடந்தது,Neutral,None,Routine day passed
1367,உறவுகள் தூரம் வேதனை,Sadness,None,Relationship distance pain
1368,சந்தோஷம் மனதை லேசாக்குது,Joy,None,Happiness mind lightening
1369,மரியாதை குறைவு கோபமூட்டுது,Anger,None,Respect reduction anger
1370,எதிர்காலம் பயமூட்டுது,Fear,None,Future frightening
1371,நேரம் வழக்கமாக சென்றது,Neutral,None,Time routine going
1372,உள்ளத்தில் துக்கம் தங்கியிருக்குது,Sadness,Despair,Heart grief dwelling
1373,நல்ல செய்தி ஆறுதல் தருது,Joy,None,Good news comfort giving
1374,நியாயமின்மை கோபத்தை வளர்க்குது,Anger,Frustration,Injustice anger growing
1375,பயம் உள்ளத்தை வளைக்குது,Fear,None,Fear heart bending
1376,வேலை வழக்கம்போல் முடிந்தது,Neutral,None,Work routine finished
1377,மனதில் சோர்வு குவிந்திருக்குது,Sadness,Frustration,Mind fatigue piling
1378,சிரிப்பு திரும்பவும் வந்தது,Joy,None,Laughter return occurred
1379,அவமானம் கோபத்தை தூண்டுது,Anger,None,Humiliation anger provoking
1380,நாளை குறித்து பயம் தொடருது,Fear,None,Tomorrow fear continuing
1381,சாதாரண நாள் முடிந்தது,Neutral,None,Ordinary day finished
1382,உள்ளம் வெறுமையாக உணர்கிறது,Sadness,None,Heart emptiness feeling
1383,நன்றி சொல்ல மகிழ்ச்சி,Joy,None,Gratitude saying happiness
1384,அநியாயம் கோபத்தை அதிகரிக்குது,Anger,Frustration,Injustice anger increasing
1385,பயம் மனதை ஆட்கொள்ளுது,Fear,None,Fear mind possessing
1386,வழக்கமான வேலை நடந்தது,Neutral,None,Routine work happened
1387,உறவுகள் பிரிவு வலி,Sadness,None,Relationship separation pain
1388,சந்தோஷம் சிறுதாக வந்தது,Joy,None,Small happiness came
1389,மதிப்பின்மை கோபமூட்டுது,Anger,None,Disrespect anger provoking
1390,எதிர்பார்ப்பு பயத்தை கொடுக்குது,Fear,None,Expectation fear giving
1391,நாள் வழக்கம்போல் கழிந்தது,Neutral,None,Day routine passing
1392,மனதில் சோகம் நிலைத்திருக்குது,Sadness,Despair,Mind sadness persisting
1393,நல்ல முடிவு மகிழ்ச்சி,Joy,None,Good outcome happiness
1394,நியாயம் கேட்பது கோபம்,Anger,Frustration,Justice asking anger
1395,பயம் உள்ளத்தை நிரப்புது,Fear,None,Fear heart filling
1396,வேலை நேரம் சாதாரணமாக முடிந்தது,Neutral,None,Work time ordinary ending
1397,உள்ளத்தில் சோர்வு நிரம்பியிருக்குது,Sadness,Frustration,Heart fatigue fullness
1398,சிரிப்பு மீண்டும் வந்ததில் மகிழ்ச்சி,Joy,None,Laughter return happiness
1399,அவமதிப்பு கோபத்தை உண்டாக்குது,Anger,None,Disrespect anger creating
1400,நாளை பற்றிய பயம் உள்ளது,Fear,None,Tomorrow fear existing
1401,திசை தெரியாம அலையும் உணர்வு,Fear,None,Directionless wandering feeling
1402,நினைவுகள் மனதை கிழிக்குது,Sadness,Frustration,Memories mind tearing
1403,புது வாசல் திறந்ததில் நம்பிக்கை,Joy,Hope,New door opening hope
1404,பொய்யான நடிப்பு கோபத்தை கொடுக்குது,Anger,Sarcasm,False pretense anger
1405,முடிவெடுக்க தயக்கம் பயமூட்டுது,Fear,None,Decision hesitation frightening
1406,காலை சூரியன் வழக்கமாக உதித்தது,Neutral,None,Morning sun routine rising
1407,வார்த்தைகள் உள்ளத்தை துளைக்குது,Sadness,None,Words heart piercing
1408,சின்ன சாதனை பெருமை தருது,Joy,None,Small achievement pride
1409,நேர்மையின்மை கோபத்தை உண்டாக்குது,Anger,Frustration,Dishonesty anger creation
1410,பாதுகாப்பு உணர்வு நழுவுது,Fear,None,Security feeling slipping
1411,மாலை நேரம் அமைதியாக கழிந்தது,Neutral,None,Evening time peaceful passing
1412,நம்பிக்கை நூல் அறுந்து போகுது,Sadness,Despair,Hope thread breaking
1413,பாராட்டு மனதை உயர்த்துது,Joy,None,Praise mind elevating
1414,அநீதியான தண்டனை கோபம் கொடுக்குது,Anger,Frustration,Unjust punishment anger
1415,தெரியாத பயணம் பயத்தை சுமக்குது,Fear,None,Unknown journey fear carrying
1416,நாள் நடைமுறை போல் ஓடியது,Neutral,None,Day routine running
1417,உள்ளம் நொறுங்கி சிதறுது,Sadness,Despair,Heart crumbling scattering
1418,நன்றி வார்த்தை மகிழ்ச்சி அளிக்குது,Joy,None,Gratitude word happiness giving
1419,நியாயம் மறுப்பு கோபமூட்டுது,Anger,Frustration,Justice refusal anger
1420,எதிர்பார்ப்பு பயத்தோடு வருது,Fear,Hope,Expectation fear coming
1421,வேலை பட்டியல் சாதாரணமாக நடந்தது,Neutral,None,Work list ordinary happening
1422,வலி உள்ளத்தை வாட்டுது,Sadness,None,Pain heart afflicting
1423,உதவி கிடைச்சதுக்கு நன்றி,Joy,None,Help received gratitude
1424,வார்த்தை தாக்குதல் கோபத்தை தூண்டுது,Anger,None,Word attack anger provoking
1425,நிலையான வருமானம் இல்லாம பயம்,Fear,None,Stable income absence fear
1426,மதிய உணவு நேரம் கடந்தது,Neutral,None,Lunch time passed
1427,உறவுகள் பலவீனம் வலிக்குது,Sadness,None,Relationship weakness hurting
1428,சிரிப்பு மனதை தேற்றுது,Joy,None,Laughter mind soothing
1429,பொறுமை முடிவு கோபத்தை கொண்டுவருது,Anger,None,Patience ending anger bringing
1430,நாளை சூழல் பயமூட்டுது,Fear,None,Tomorrow environment frightening
1431,பயண நேரம் சாதாரணமாக முடிந்தது,Neutral,None,Travel time ordinary ending
1432,மனதில் காயம் ஆறவில்லை,Sadness,None,Mind wound not healing
1433,நல்ல முடிவு நிம்மதி தருது,Joy,None,Good outcome peace giving
1434,அநியாயமான குற்றச்சாட்டு கோபம்,Anger,Frustration,Unjust accusation anger
1435,பயம் உள்ளத்தை சூழ்ந்திருக்குது,Fear,None,Fear heart surrounding
1436,மாலை வேலை வழக்கம்போல் முடிந்தது,Neutral,None,Evening work routine finished
1437,நம்பிக்கை தளர்ந்து போகுது,Sadness,Despair,Hope weakening going
1438,சந்தோஷம் சிறிதாக கிடைத்தது,Joy,None,Small happiness obtained
1439,மரியாதையின்மை கோபத்தை வளர்க்குது,Anger,None,Respect absence anger growing
1440,எதிர்காலம் தெளிவற்று பயமூட்டுது,Fear,None,Future unclear frightening
1441,இரவு நேரம் அமைதியாக வந்தது,Neutral,None,Night time peaceful arrival
1442,உள்ளத்து போராட்டம் சொல்ல முடியல,Sadness,None,Inner struggle inexpressibility
1443,நன்றி உணர்வு மனதை நிரப்புது,Joy,None,Gratitude feeling mind filling
1444,நியாயமான கோரிக்கை மறுப்பு கோபம்,Anger,Frustration,Fair demand refusal anger
1445,பயம் மனதை ஆட்டிப்படைக்குது,Fear,None,Fear mind shaking
1446,உணவு நேரம் வழக்கமாக கடந்தது,Neutral,None,Meal time routine passing
1447,உறவுகள் உடைவு வேதனை தருது,Sadness,None,Relationship breaking pain giving
1448,சிரிப்பு திரும்ப வந்ததில் ஆறுதல்,Joy,None,Laughter return comfort
1449,அவமானப்படுத்தல் கோபமூட்டுது,Anger,None,Humiliation anger provoking
1450,நாளை நிகழ்வு பயத்தை கொடுக்குது,Fear,None,Tomorrow event fear giving
1451,இரவு உறக்கம் சாதாரணமாக வந்தது,Neutral,None,Night sleep ordinary arrival
1452,மனதில் வெறுமை ஆழமாகுது,Sadness,None,Mind emptiness deepening
1453,நல்ல செய்தி மகிழ்ச்சி கொடுக்குது,Joy,None,Good news happiness giving
1454,அநீதியான தீர்ப்பு கோபத்தை தூண்டுது,Anger,Frustration,Unjust verdict anger provoking
1455,பயம் உள்ளத்தை கட்டுப்படுத்துது,Fear,None,Fear heart controlling
1456,காலை காபி நேரம் கடந்தது,Neutral,None,Morning coffee time passed
1457,உள்ளம் சோர்ந்து தளர்ந்திருக்குது,Sadness,Frustration,Heart fatigue slackening
1458,சந்தோஷம் மனதை மாற்றுது,Joy,None,Happiness mind changing
1459,மதிப்பு குறைவு கோபமூட்டுது,Anger,None,Value reduction anger provoking
1460,எதிர்பார்ப்பு பயத்தை சுமக்குது,Fear,None,Expectation fear carrying
1461,மதிய ஓய்வு சாதாரணமாக எடுத்தேன்,Neutral,None,Afternoon rest ordinary taking
1462,மனதில் துயரம் குவிந்திருக்குது,Sadness,Despair,Mind grief piling
1463,நன்றி சொல்ல வாய்ப்பு கிடைத்தது,Joy,None,Gratitude saying opportunity obtained
1464,நியாயம் கேட்டு கோபம் வருது,Anger,Frustration,Justice asking anger coming
1465,பயம் மனதை நிரப்பிக்கொண்டிருக்குது,Fear,None,Fear mind filling continuing
1466,வேலை இடைவேளை வழக்கம்போல் முடிந்தது,Neutral,None,Work break routine finished
1467,உறவுகள் தூரம் வலிக்குது,Sadness,None,Relationship distance hurting
1468,சிரிப்பு மீண்டும் வந்ததில் நிம்மதி,Joy,None,Laughter return peace
1469,அவமதிப்பு கோபத்தை உண்டாக்குது,Anger,None,Disrespect anger creating
1470,நாளை குறித்த பயம் தொடருது,Fear,None,Tomorrow fear continuing
1471,மாலை தேநீர் நேரம் கழிந்தது,Neutral,None,Evening tea time passing
1472,உள்ளத்தில் வெறுமை நிலவுது,Sadness,None,Heart emptiness prevailing
1473,நல்ல முடிவு மனதை லேசாக்குது,Joy,None,Good outcome mind lightening
1474,அநியாயம் கோபத்தை அதிகரிக்குது,Anger,Frustration,Injustice anger increasing
1475,பயம் உள்ளத்தை ஆக்கிரமிக்குது,Fear,None,Fear heart occupying
1476,மாலை நடைப்பயிற்சி வழக்கம்போல் முடிந்தது,Neutral,None,Evening walk routine finished
1477,மனதில் சோர்வு குவிந்திருக்குது,Sadness,Frustration,Mind fatigue piling
1478,சந்தோஷம் சிறுதாக கிடைத்தது,Joy,None,Small happiness obtained
1479,மரியாதை இல்லாமை கோபமூட்டுது,Anger,None,Respect absence anger provoking
1480,எதிர்காலம் பயமூட்டும் வகையில் உள்ளது,Fear,None,Future frightening manner existing
1481,இரவு உணவு நேரம் வந்தது,Neutral,None,Dinner time arrival
1482,உள்ளம் உடைந்து சிதறுது,Sadness,Despair,Heart breaking scattering
1483,நன்றி உணர்வு மகிழ்ச்சி தருது,Joy,None,Gratitude feeling happiness giving
1484,நியாயமின்மை கோபத்தை தூண்டுது,Anger,Frustration,Injustice anger provoking
1485,பயம் மனதை பிடித்திருக்குது,Fear,None,Fear mind holding
1486,இரவு வேலை வழக்கம்போல் முடிந்தது,Neutral,None,Night work routine finished
1487,உறவுகள் பிரிவு வலியாக உள்ளது,Sadness,None,Relationship separation painful
1488,சிரிப்பு திரும்பவும் வந்தது,Joy,None,Laughter return occurred
1489,அவமானம் கோபத்தை வளர்க்குது,Anger,None,Humiliation anger growing
1490,நாளை பற்றி பயம் உள்ளது,Fear,None,Tomorrow fear existing
1491,தூக்க நேரம் வழக்கமாக வந்தது,Neutral,None,Sleep time routine arrival
1492,மனதில் சோகம் நிலைத்திருக்குது,Sadness,Despair,Mind sadness persisting
1493,நல்ல செய்தி ஆறுதல் தருது,Joy,None,Good news comfort giving
1494,அநீதி கோபத்தை உண்டாக்குது,Anger,Frustration,Injustice anger creating
1495,பயம் உள்ளத்தை வளைக்குது,Fear,None,Fear heart bending
1496,காலை எழுந்திரிக்கும் நேரம் கடந்தது,Neutral,None,Morning waking time passed
1497,உள்ளத்தில் துக்கம் தங்கியிருக்குது,Sadness,Despair,Heart grief dwelling
1498,சந்தோஷம் மனதை நிரப்புது,Joy,None,Happiness mind filling
1499,மதிப்பின்மை கோபமூட்டுது,Anger,None,Disrespect anger provoking
1500,எதிர்பார்ப்பு பயத்தை தருது,Fear,None,Expectation fear giving
1501,வழக்கமான காலை நடைமுறை தொடங்கியது,Neutral,None,Routine morning procedure started
1502,உள்ளம் சோர்ந்து வாடுது,Sadness,Frustration,Heart fatigue wilting
1503,நன்றி சொல்ல மகிழ்ச்சி,Joy,None,Gratitude saying happiness
1504,நியாயம் கேட்பது கோபம்,Anger,Frustration,Justice asking anger
1505,பயம் மனதை ஆட்கொள்ளுது,Fear,None,Fear mind possessing
1506,பகல் நேரம் வழக்கமாக கழிந்தது,Neutral,None,Daytime routine passing
1507,மனதில் வெறுமை பரவுது,Sadness,None,Mind emptiness spreading
1508,சிரிப்பு மீண்டும் வந்ததில் மகிழ்ச்சி,Joy,None,Laughter return happiness
1509,அவமதிப்பு கோபத்தை தூண்டுது,Anger,None,Disrespect anger provoking
1510,நாளை குறித்து பயம் தொடருது,Fear,None,Tomorrow fear continuing
1511,மதிய உணவு தயாரிப்பு முடிந்தது,Neutral,None,Lunch preparation finished
1512,உறவுகள் தூரம் வேதனை,Sadness,None,Relationship distance pain
1513,நல்ல முடிவு மகிழ்ச்சி,Joy,None,Good outcome happiness
1514,மரியாதை குறைவு கோபம்,Anger,None,Respect reduction anger
1515,பயம் உள்ளத்தை நிரப்புது,Fear,None,Fear heart filling
1516,மாலை சமையல் வழக்கம்போல் முடிந்தது,Neutral,None,Evening cooking routine finished
1517,உள்ளத்தில் சோர்வு நிரம்பியிருக்குது,Sadness,Frustration,Heart fatigue fullness
1518,சந்தோஷம் சிறுதாக வந்தது,Joy,None,Small happiness came
1519,அநியாயம் கோபத்தை அதிகரிக்குது,Anger,Frustration,Injustice anger increasing
1520,எதிர்காலம் பயமூட்டுது,Fear,None,Future frightening
1521,இரவு ஓய்வு நேரம் வந்தது,Neutral,None,Night rest time arrival
1522,மனதில் துயரம் குவிந்திருக்குது,Sadness,Despair,Mind grief piling
1523,நன்றி உணர்வு வந்தது,Joy,None,Gratitude feeling arrived
1524,நியாயமின்மை கோபமூட்டுது,Anger,Frustration,Injustice anger provoking
1525,பயம் மனதை கட்டுப்படுத்துது,Fear,None,Fear mind controlling
1526,காலை தயாரிப்பு வழக்கம்போல் முடிந்தது,Neutral,None,Morning preparation routine finished
1527,உள்ளம் வெறுமையாக உணர்கிறது,Sadness,None,Heart emptiness feeling
1528,சிரிப்பு திரும்ப வந்ததில் ஆறுதல்,Joy,None,Laughter return comfort
1529,அவமானம் கோபத்தை உண்டாக்குது,Anger,None,Humiliation anger creating
1530,நாளை பற்றிய பயம் உள்ளது,Fear,None,Tomorrow fear existing
1531,மதிய ஓய்வு நேரம் கழிந்தது,Neutral,None,Afternoon rest time passing
1532,உறவுகள் பிரிவு வலி,Sadness,None,Relationship separation pain
1533,நல்ல செய்தி மகிழ்ச்சி கொடுக்குது,Joy,None,Good news happiness giving
1534,மதிப்பின்மை கோபத்தை தூண்டுது,Anger,None,Disrespect anger provoking
1535,பயம் உள்ளத்தை ஆக்கிரமிக்குது,Fear,None,Fear heart occupying
1536,மாலை வேலை நேரம் முடிந்தது,Neutral,None,Evening work time finished
1537,மனதில் சோகம் நிலைத்திருக்குது,Sadness,Despair,Mind sadness persisting
1538,சந்தோஷம் மனதை லேசாக்குது,Joy,None,Happiness mind lightening
1539,அநீதி கோபத்தை வளர்க்குது,Anger,Frustration,Injustice anger growing
1540,எதிர்பார்ப்பு பயத்தை கொடுக்குது,Fear,None,Expectation fear giving
1541,இரவு உணவு தயாரிப்பு முடிந்தது,Neutral,None,Dinner preparation finished
1542,உள்ளத்தில் வெறுமை நிலவுது,Sadness,None,Heart emptiness prevailing
1543,நன்றி சொல்ல வாய்ப்பு கிடைத்தது,Joy,None,Gratitude saying opportunity obtained
1544,நியாயம் கேட்பது கோபம்,Anger,Frustration,Justice asking anger
1545,பயம் மனதை பிடித்திருக்குது,Fear,None,Fear mind holding
1546,தூக்க தயாரிப்பு வழக்கம்போல் நடந்தது,Neutral,None,Sleep preparation routine happened
1547,உறவுகள் தூரம் வலிக்குது,Sadness,None,Relationship distance hurting
1548,சிரிப்பு மீண்டும் வந்ததில் நிம்மதி,Joy,None,Laughter return peace
1549,மரியாதையின்மை கோபமூட்டுது,Anger,None,Respect absence anger provoking
1550,நாளை குறித்த பயம் தொடருது,Fear,None,Tomorrow fear continuing
1551,காலை எழுதல் வழக்கமாக நடந்தது,Neutral,None,Morning waking routine happened
1552,மனதில் சோர்வு குவிந்திருக்குது,Sadness,Frustration,Mind fatigue piling
1553,நல்ல முடிவு மனதை மாற்றுது,Joy,None,Good outcome mind changing
1554,அவமதிப்பு கோபத்தை தூண்டுது,Anger,None,Disrespect anger provoking
1555,பயம் உள்ளத்தை வளைக்குது,Fear,None,Fear heart bending
1556,பகல் பணி வழக்கம்போல் முடிந்தது,Neutral,None,Daytime work routine finished
1557,உள்ளம் சோர்ந்து தளர்ந்திருக்குது,Sadness,Frustration,Heart fatigue slackening
1558,சந்தோஷம் சிறுதாக கிடைத்தது,Joy,None,Small happiness obtained
1559,அநியாயம் கோபத்தை உண்டாக்குது,Anger,Frustration,Injustice anger creating
1560,எதிர்காலம் பயமூட்டும் வகையில் உள்ளது,Fear,None,Future frightening manner existing
1561,மதிய உணவு நேரம் வழக்கமாக கடந்தது,Neutral,None,Lunch time routine passing
1562,மனதில் வெறுமை பரவுது,Sadness,None,Mind emptiness spreading
1563,நன்றி உணர்வு மகிழ்ச்சி தருது,Joy,None,Gratitude feeling happiness giving
1564,நியாயமின்மை கோபமூட்டுது,Anger,Frustration,Injustice anger provoking
1565,பயம் மனதை ஆட்கொள்ளுது,Fear,None,Fear mind possessing
1566,மாலை தேநீர் தயாரிப்பு முடிந்தது,Neutral,None,Evening tea preparation finished
1567,உறவுகள் பிரிவு வேதனை,Sadness,None,Relationship separation pain
1568,சிரிப்பு திரும்பவும் வந்தது,Joy,None,Laughter return occurred
1569,மதிப்பு குறைவு கோபத்தை தூண்டுது,Anger,None,Value reduction anger provoking
1570,நாளை பற்றி பயம் உள்ளது,Fear,None,Tomorrow fear existing
1571,இரவு வேலை தயாரிப்பு நடந்தது,Neutral,None,Night work preparation happened
1572,உள்ளத்தில் துக்கம் தங்கியிருக்குது,Sadness,Despair,Heart grief dwelling
1573,நல்ல செய்தி ஆறுதல் தருது,Joy,None,Good news comfort giving
1574,அவமானம் கோபத்தை வளர்க்குது,Anger,None,Humiliation anger growing
1575,பயம் உள்ளத்தை நிரப்புது,Fear,None,Fear heart filling
1576,தூக்க நேரம் வழக்கமாக வந்தது,Neutral,None,Sleep time routine arrival
1577,மனதில் சோகம் குவிந்திருக்குது,Sadness,Despair,Mind sadness piling
1578,சந்தோஷம் மனதை நிரப்புது,Joy,None,Happiness mind filling
1579,மரியாதை இல்லாமை கோபமூட்டுது,Anger,None,Respect absence anger provoking
1580,எதிர்பார்ப்பு பயத்தை தருது,Fear,None,Expectation fear giving
1581,காலை முழக்க ஒலி வழக்கமாக கேட்டது,Neutral,None,Morning alarm routine hearing
1582,உள்ளம் வெறுமையாக உணர்கிறது,Sadness,None,Heart emptiness feeling
1583,நன்றி சொல்ல மகிழ்ச்சி,Joy,None,Gratitude saying happiness
1584,அநீதி கோபத்தை அதிகரிக்குது,Anger,Frustration,Injustice anger increasing
1585,பயம் மனதை கட்டுப்படுத்துது,Fear,None,Fear mind controlling
1586,பகல் ஓய்வு நேரம் கழிந்தது,Neutral,None,Daytime rest time passing
1587,உறவுகள் தூரம் வலியாக உள்ளது,Sadness,None,Relationship distance painful
1588,சிரிப்பு மீண்டும் வந்ததில் மகிழ்ச்சி,Joy,None,Laughter return happiness
1589,நியாயம் கேட்பது கோபமூட்டுது,Anger,Frustration,Justice asking anger provoking
1590,நாளை குறித்து பயம் தொடருது,Fear,None,Tomorrow fear continuing
1591,மதிய பணி நேரம் முடிந்தது,Neutral,None,Afternoon work time finished
1592,மனதில் சோர்வு நிரம்பியிருக்குது,Sadness,Frustration,Mind fatigue fullness
1593,நல்ல முடிவு மகிழ்ச்சி தருது,Joy,None,Good outcome happiness giving
1594,அவமதிப்பு கோபத்தை உண்டாக்குது,Anger,None,Disrespect anger creating
1595,பயம் உள்ளத்தை ஆக்கிரமிக்குது,Fear,None,Fear heart occupying
1596,மாலை நடைபயிற்சி நேரம் வந்தது,Neutral,None,Evening walk time arrival
1597,உள்ளத்தில் வெறுமை நிலவுது,Sadness,None,Heart emptiness prevailing
1598,சந்தோஷம் சிறுதாக வந்தது,Joy,None,Small happiness came
1599,மதிப்பின்மை கோபமூட்டுது,Anger,None,Disrespect anger provoking
1600,எதிர்காலம் பயமூட்டுது,Fear,None,Future frightening
1601,இரவு உணவு நேரம் வழக்கமாக வந்தது,Neutral,None,Dinner time routine arrival
1602,மனதில் துயரம் குவிந்திருக்குது,Sadness,Despair,Mind grief piling
1603,நன்றி உணர்வு வந்ததில் மகிழ்ச்சி,Joy,None,Gratitude feeling joy
1604,அநியாயம் கோபத்தை தூண்டுது,Anger,Frustration,Injustice anger provoking
1605,பயம் மனதை பிடித்திருக்குது,Fear,None,Fear mind holding
1606,இரவு ஓய்வு தயாரிப்பு முடிந்தது,Neutral,None,Night rest preparation finished
1607,உறவுகள் பிரிவு வலி தருது,Sadness,None,Relationship separation pain giving
1608,சிரிப்பு திரும்ப வந்ததில் ஆறுதல்,Joy,None,Laughter return comfort
1609,மரியாதை குறைவு கோபத்தை வளர்க்குது,Anger,None,Respect reduction anger growing
1610,நாளை பற்றிய பயம் தொடருது,Fear,None,Tomorrow fear continuing
1611,தூக்க தயாரிப்பு வழக்கமாக நடந்தது,Neutral,None,Sleep preparation routine happened
1612,உள்ளம் சோர்ந்து வாடுது,Sadness,Frustration,Heart fatigue wilting
1613,நல்ல செய்தி மனதை மாற்றுது,Joy,None,Good news mind changing
1614,அவமானம் கோபத்தை தூண்டுது,Anger,None,Humiliation anger provoking
1615,பயம் உள்ளத்தை வளைக்குது,Fear,None,Fear heart bending
1616,காலை குளியல் நேரம் கடந்தது,Neutral,None,Morning bath time passed
1617,மனதில் சோகம் நிலைத்திருக்குது,Sadness,Despair,Mind sadness persisting
1618,சந்தோஷம் மனதை லேசாக்குது,Joy,None,Happiness mind lightening
1619,நியாயமின்மை கோபமூட்டுது,Anger,Frustration,Injustice anger provoking
1620,எதிர்பார்ப்பு பயத்தை கொடுக்குது,Fear,None,Expectation fear giving
1621,பகல் உணவு தயாரிப்பு முடிந்தது,Neutral,None,Daytime meal preparation finished
1622,உள்ளத்தில் வெறுமை பரவுது,Sadness,None,Heart emptiness spreading
1623,நன்றி சொல்ல வாய்ப்பு வந்தது,Joy,None,Gratitude saying opportunity came
1624,மதிப்பு குறைவு கோபத்தை உண்டாக்குது,Anger,None,Value reduction anger creating
1625,பயம் மனதை ஆட்கொள்ளுது,Fear,None,Fear mind possessing
1626,மதிய ஓய்வு வழக்கம்போல் எடுத்தேன்,Neutral,None,Afternoon rest routine taking
1627,உறவுகள் தூரம் வேதனை தருது,Sadness,None,Relationship distance pain giving
1628,சிரிப்பு மீண்டும் வந்ததில் நிம்மதி,Joy,None,Laughter return peace
1629,அநீதி கோபத்தை வளர்க்குது,Anger,Frustration,Injustice anger growing
1630,நாளை குறித்த பயம் உள்ளது,Fear,None,Tomorrow fear existing
1631,மாலை சமையல் நேரம் வந்தது,Neutral,None,Evening cooking time arrival
1632,மனதில் சோர்வு குவிந்திருக்குது,Sadness,Frustration,Mind fatigue piling
1633,நல்ல முடிவு மனதை நிரப்புது,Joy,None,Good outcome mind filling
1634,அவமதிப்பு கோபமூட்டுது,Anger,None,Disrespect anger provoking
1635,பயம் உள்ளத்தை நிரப்புது,Fear,None,Fear heart filling
1636,இரவு வேலை நேரம் கழிந்தது,Neutral,None,Night work time passing
1637,உள்ளம் வெறுமையாக உணர்கிறது,Sadness,None,Heart emptiness feeling
1638,சந்தோஷம் சிறுதாக கிடைத்தது,Joy,None,Small happiness obtained
1639,மரியாதையின்மை கோபத்தை தூண்டுது,Anger,None,Respect absence anger provoking
1640,எதிர்காலம் பயமூட்டும் வகையில் உள்ளது,Fear,None,Future frightening manner existing
1641,தூக்க நேரம் வழக்கமாக வந்தது,Neutral,None,Sleep time routine arrival
1642,மனதில் வெறுமை நிலவுது,Sadness,None,Mind emptiness prevailing
1643,நன்றி உணர்வு மகிழ்ச்சி தருது,Joy,None,Gratitude feeling happiness giving
1644,நியாயம் கேட்பது கோபம்,Anger,Frustration,Justice asking anger
1645,பயம் மனதை கட்டுப்படுத்துது,Fear,None,Fear mind controlling
1646,காலை தயாரிப்பு நேரம் முடிந்தது,Neutral,None,Morning preparation time finished
1647,உறவுகள் பிரிவு வலியாக உள்ளது,Sadness,None,Relationship separation painful
1648,சிரிப்பு திரும்பவும் வந்தது,Joy,None,Laughter return occurred
1649,மதிப்பின்மை கோபத்தை வளர்க்குது,Anger,None,Disrespect anger growing
1650,நாளை பற்றி பயம் தொடருது,Fear,None,Tomorrow fear continuing
1651,பகல் பணி தயாரிப்பு நடந்தது,Neutral,None,Daytime work preparation happened
1652,உள்ளத்தில் துக்கம் தங்கியிருக்குது,Sadness,Despair,Heart grief dwelling
1653,நல்ல செய்தி ஆறுதல் தருது,Joy,None,Good news comfort giving
1654,அவமானம் கோபத்தை உண்டாக்குது,Anger,None,Humiliation anger creating
1655,பயம் உள்ளத்தை ஆக்கிரமிக்குது,Fear,None,Fear heart occupying
1656,மதிய உணவு நேரம் வழக்கமாக வந்தது,Neutral,None,Lunch time routine arrival
1657,மனதில் சோகம் குவிந்திருக்குது,Sadness,Despair,Mind sadness piling
1658,சந்தோஷம் மனதை மாற்றுது,Joy,None,Happiness mind changing
1659,அநியாயம் கோபமூட்டுது,Anger,Frustration,Injustice anger provoking
1660,எதிர்பார்ப்பு பயத்தை தருது,Fear,None,Expectation fear giving
1661,மாலை ஓய்வு நேரம் கழிந்தது,Neutral,None,Evening rest time passing
1662,உள்ளம் சோர்ந்து தளர்ந்திருக்குது,Sadness,Frustration,Heart fatigue slackening
1663,நன்றி சொல்ல மகிழ்ச்சி,Joy,None,Gratitude saying happiness
1664,மரியாதை குறைவு கோபத்தை தூண்டுது,Anger,None,Respect reduction anger provoking
1665,பயம் மனதை பிடித்திருக்குது,Fear,None,Fear mind holding
1666,இரவு உணவு தயாரிப்பு வழக்கம்போல் முடிந்தது,Neutral,None,Dinner preparation routine finished
1667,உறவுகள் தூரம் வலி தருது,Sadness,None,Relationship distance pain giving
1668,சிரிப்பு மீண்டும் வந்ததில் மகிழ்ச்சி,Joy,None,Laughter return happiness
1669,நியாயமின்மை கோபத்தை உண்டாக்குது,Anger,Frustration,Injustice anger creating
1670,நாளை குறித்து பயம் உள்ளது,Fear,None,Tomorrow fear existing
1671,தூக்க தயாரிப்பு நேரம் வந்தது,Neutral,None,Sleep preparation time arrival
1672,மனதில் வெறுமை பரவுது,Sadness,None,Mind emptiness spreading
1673,நல்ல முடிவு மனதை லேசாக்குது,Joy,None,Good outcome mind lightening
1674,அவமதிப்பு கோபமூட்டுது,Anger,None,Disrespect anger provoking
1675,பயம் உள்ளத்தை வளைக்குது,Fear,None,Fear heart bending
1676,காலை எழுதல் நேரம் வழக்கமாக வந்தது,Neutral,None,Morning waking time routine arrival
1677,உள்ளத்தில் சோர்வு நிரம்பியிருக்குது,Sadness,Frustration,Heart fatigue fullness
1678,சந்தோஷம் சிறுதாக வந்தது,Joy,None,Small happiness came
1679,மதிப்பு குறைவு கோபத்தை வளர்க்குது,Anger,None,Value reduction anger growing
1680,எதிர்காலம் பயமூட்டுது,Fear,None,Future frightening
1681,பகல் உணவு நேரம் கடந்தது,Neutral,None,Daytime meal time passed
